№;X;Y
1;250,000;0,486
2;251,000;0,485
3;252,000;0,484
4;253,000;0,483
5;254,000;0,481
6;255,000;0,479
7;256,000;0,478
8;257,000;0,476
9;258,000;0,475
10;259,000;0,472
11;260,000;0,470
12;261,000;0,468
13;262,000;0,465
14;263,000;0,463
15;264,000;0,461
16;265,000;0,459
17;266,000;0,457
18;267,000;0,454
19;268,000;0,452
20;269,000;0,449
21;270,000;0,445
22;271,000;0,443
23;272,000;0,440
24;273,000;0,437
25;274,000;0,434
26;275,000;0,431
27;276,000;0,428
28;277,000;0,424
29;278,000;0,421
30;279,000;0,417
31;280,000;0,413
32;281,000;0,409
33;282,000;0,406
34;283,000;0,402
35;284,000;0,398
36;285,000;0,394
37;286,000;0,390
38;287,000;0,386
39;288,000;0,382
40;289,000;0,378
41;290,000;0,374
42;291,000;0,370
43;292,000;0,365
44;293,000;0,360
45;294,000;0,356
46;295,000;0,351
47;296,000;0,347
48;297,000;0,342
49;298,000;0,337
50;299,000;0,332
51;300,000;0,327
52;301,000;0,322
53;302,000;0,316
54;303,000;0,310
55;304,000;0,305
56;305,000;0,300
57;306,000;0,295
58;307,000;0,290
59;308,000;0,285
60;309,000;0,281
61;310,000;0,276
62;311,000;0,273
63;312,000;0,269
64;313,000;0,266
65;314,000;0,264
66;315,000;0,262
67;316,000;0,260
68;317,000;0,258
69;318,000;0,257
70;319,000;0,256
71;320,000;0,256
72;321,000;0,256
73;322,000;0,256
74;323,000;0,256
75;324,000;0,257
76;325,000;0,258
77;326,000;0,259
78;327,000;0,261
79;328,000;0,263
80;329,000;0,266
81;330,000;0,268
82;331,000;0,272
83;332,000;0,277
84;333,000;0,282
85;334,000;0,290
86;335,000;0,298
87;336,000;0,306
88;337,000;0,315
89;338,000;0,324
90;339,000;0,332
91;340,000;0,339
92;341,000;0,347
93;342,000;0,354
94;343,000;0,361
95;344,000;0,368
96;345,000;0,373
97;346,000;0,378
98;347,000;0,383
99;348,000;0,387
100;349,000;0,391
101;350,000;0,394
102;351,000;0,397
103;352,000;0,400
104;353,000;0,403
105;354,000;0,407
106;355,000;0,410
107;356,000;0,414
108;357,000;0,418
109;358,000;0,421
110;359,000;0,425
111;360,000;0,429
112;361,000;0,432
113;362,000;0,436
114;363,000;0,440
115;364,000;0,444
116;365,000;0,448
117;366,000;0,451
118;367,000;0,454
119;368,000;0,457
120;369,000;0,461
121;370,000;0,465
122;371,000;0,468
123;372,000;0,471
124;373,000;0,474
125;374,000;0,478
126;375,000;0,481
127;376,000;0,484
128;377,000;0,487
129;378,000;0,489
130;379,000;0,492
131;380,000;0,495
132;381,000;0,497
133;382,000;0,500
134;383,000;0,502
135;384,000;0,505
136;385,000;0,508
137;386,000;0,511
138;387,000;0,513
139;388,000;0,516
140;389,000;0,518
141;390,000;0,521
142;391,000;0,523
143;392,000;0,525
144;393,000;0,528
145;394,000;0,531
146;395,000;0,533
147;396,000;0,535
148;397,000;0,537
149;398,000;0,539
150;399,000;0,540
151;400,000;0,540
